name,position,shirt_no
Ederson,Goalkeeper,31
Stefan Ortega,Goalkeeper,18
Scott Carson,Goalkeeper,33
Rúben Dias,Centre-Back,3
Josko Gvardiol,Centre-Back,24
Manuel Akanji,Centre-Back,25
Nathan Aké,Centre-Back,6
John Stones,Centre-Back,5
Sergio Gómez,Left-Back,21
Rico Lewis,Right-Back,82
Kyle Walker,Right-Back,2
Rodri,Defensive Midfield,16
Matheus Nunes,Central Midfield,27
Mateo Kovacic,Central Midfield,8
Bernardo Silva,Attacking Midfield,20
Kevin De Bruyne,Attacking Midfield,17
Jack Grealish,Left Winger,10
Jérémy Doku,Left Winger,11
Phil Foden,Right Winger,47
Oscar Bobb,Right Winger,52
Julián Álvarez,Second Striker,19
Erling Haaland,Centre-Forward,9
David Raya,Goalkeeper,22
Aaron Ramsdale,Goalkeeper,1
Karl Hein,Goalkeeper,31
William Saliba,Centre-Back,2
Gabriel Magalhães,Centre-Back,6
Jurrien Timber,Centre-Back,12
Oleksandr Zinchenko,Left-Back,35
Jakub Kiwior,Left-Back,15
Ben White,Right-Back,4
Takehiro Tomiyasu,Right-Back,18
Cédric Soares,Right-Back,17
Declan Rice,Defensive Midfield,41
Thomas Partey,Defensive Midfield,5
Jorginho,Defensive Midfield,20
Mohamed Elneny,Defensive Midfield,25
Martin Ødegaard,Attacking Midfield,8
Kai Havertz,Attacking Midfield,29
Emile Smith Rowe,Attacking Midfield,10
Fábio Vieira,Attacking Midfield,21
Gabriel Martinelli,Left Winger,11
Leandro Trossard,Left Winger,19
Bukayo Saka,Right Winger,7
Reiss Nelson,Right Winger,24
Gabriel Jesus,Centre-Forward,9
Eddie Nketiah,Centre-Forward,14
Robert Sánchez,Goalkeeper,1
Djordje Petrovic,Goalkeeper,28
Marcus Bettinelli,Goalkeeper,13
Levi Colwill,Centre-Back,26
Axel Disasi,Centre-Back,2
Benoît Badiashile,Centre-Back,5
Wesley Fofana,Centre-Back,33
Trevoh Chalobah,Centre-Back,14
Malang Sarr,Centre-Back,-
Thiago Silva,Centre-Back,6
Alfie Gilchrist,Centre-Back,42
Ben Chilwell,Left-Back,21
Marc Cucurella,Left-Back,3
Reece James,Right-Back,24
Malo Gusto,Right-Back,27
Moisés Caicedo,Defensive Midfield,25
Roméo Lavia,Defensive Midfield,45
Lesley Ugochukwu,Defensive Midfield,16
Enzo Fernández,Central Midfield,8
Conor Gallagher,Central Midfield,23
Carney Chukwuemeka,Central Midfield,17
Cesare Casadei,Central Midfield,31
Christopher Nkunku,Attacking Midfield,18
Cole Palmer,Attacking Midfield,20
Raheem Sterling,Left Winger,7
Mykhaylo Mudryk,Left Winger,10
Diego Moreira,Left Winger,43
Noni Madueke,Right Winger,11
Nicolas Jackson,Centre-Forward,15
Deivid Washington,Centre-Forward,36
Alisson,Goalkeeper,1
